bdav,Mistaken M2TS file
ev2,Emblaze Video Format file
gvi,Google video file
ilm,Opus Creator multimedia file
avr,MPEG-2 transport stream file
w32,WinCAPs subtitle file
fli,Autodesk Animator FLIC animation old format
rtv,NewTek uncompressed video file
ml20,Mercury Messenger for Mac video file
pxm,PCSX Rerecording captured movie file
flux,FluxTime Studio clip file
video,aTube Catcher video file
tmi,Thin Client Media-3 encoded video file
wmv3,Video file
sqf,Sothink SWF Quicker project file
mio,MIO multimedia file
vdr,VirtualDub Frame Server file format
bsf,AVC Blu-ray video format file
mp4v,MPEG-4 video file
gir,Gens Plus! movie file
iis,PHOTOfunSTUDIO HD video file
movie,Apple QuickTime movie file
cip,Cavena subtitles file
3gpp2,Multimedia files for wireless networks
890,Cavena subtitles file
nut,NUT open container file
dvddata,TMPGEnc DVD Author video file
divx,DivX Media Format
xavc,Sony XAVC video format
vep4,AVS Video Editor project file
mkv3D,Matroska 3D video format file
dmss,Roxio Creator VideoWave slideshow project file
epj,EDIUS Pro project
st4,Pinnacle Studio 400 project file
ogm,Ogg Vorbis media file
hav,Video Recorder video file
rki,Race-Keeper video file
pmf,Sony PlayStation PSP movie file
gfp,GreenForce-Player audio or video file
gmm,Global Mobile Media file
fvt,Fast Search & Transfer video format
lsx,Advanced Streaming Redirector File
film,Filmkey Player media file
mvv,AVS Media Player MPEG video file
bts,Creative Digital Blaster video
bub,Photobubble file
vod,WorldGroup Manager Video On Demand file
rec_part1,Walker File format video file
bbv,PPLive file
vcl,Roxio Video CD layout file
uvf,UVScreenCamera films file
dpg,nDs-mPeG video file
ivr,RealPlayer Internet video recording file
gmt,Global Mobile Television multimedia file
stk,HyperStudio stacks file
3mm,Microsoft 3D Movie Maker video file
mpeg2,Multiplexed MPEG-1/2 file
mcf,MCF Media Container file
dv-avi,Microsoft DV-AVI video file
mgv,Sony PSP video file
fpb,FLAMES Playback recorder file
mpeg4,MPEG-4 video file
demo4,UT2004 demo file
pro,ProPresenter export file
800,Security cam footage file
ivs,Internet streaming video
aec,Cinema 4D Adobe After Effects import composition file
hevc,HEVC video file
mpeg1,Multiplexed MPEG-1/2 file
moo,Apple QuickTime movie clip file
uvs,UVScreenCamera segments
tdt2,Panasonic HD video camera movie file
par,Dedicated Micros DVR recording
m-jpeg,M-JPEG file
rargb,Warez movie
wsve,Wondershare Filmora project
noa,Japanese movie format
wm3,VisualNastran movie file
roq,RoQ video format
cmproj,Camtasia for Mac project file
sqz,Squeeze project
wm,Windows Media Audio or Video file
flvat,Downloaded Flash video file
mpe,MPEG movie (Motion Pictures Experts Group)
ncor,Adobe Encore project file
tx3g,MPEG-4 file
xmv,Microsoft Xbox video file
aqt,AQTitle subtitles file
am7,AutoPlay Menu Studio ver.7 data file
l3,L3 DRM protected video
ppp,CyberLink PowerProducer project file
vc1,VC-1 video file
pvr,Wintal PVR video file
mvp,Movie Edit Pro video project file
tivo,TiVo video file
w3d,Adobe Shockwave 3D scene export
44,Clipstream 32 Kb stream file
mp2v,MPEG video file
vivo,RealNetworks VivoActive movies and audio
vg,VGuard H.264 video file
htp,Honest Technology Video Editor project file
mjp2,JPEG 2000 motion sequence format (ISO 15444-3) file
vp8,VP8 video codec file
mqv,Sony Movie Player file format
h261,H.261 video format
cam,Camtasia Studio project file
seq,Norpix StreamPix video sequence
jmm,JVC recorded multimedia file
m2s,MPEG-2 audio video file
moov,Apple QuickTime movie file
mp7,Portable Media player 7 file
xmm,GEX MP3 satellite receiver saved file
dwz,Ulead DVD MovieFactory project file
viewlet,Qarbon Viewlet
hnm,Cryo HNM movie soundtrack file
