jag,Atari Jaguar JPEG compressed image
jap,JAlbum album file
jas,Corel PaintShop Photo Pro bitmap graphics file
jascproject,Jasc Paint Shop Photo Album project file
jb2,JBIG2 image file
jbg,Image JBIG 1-bit raster file
jbig2,STDU Viewer JBIG file
jbr,Corel PaintShop Photo Pro brushes file
jfi,JPEG File Interchange Format
jfif,JPEG Interchange format file
jfif-tbnl,JPEG picture file
jfx,J2 fax file
jgp,Jet Graphics Planner picture image
jif,JPEG Interchange format file
jif,Jeff's Image Format file
jiff,JPG bitmap image
jj,Doodle C64 Compressed image format
jls,JPEG-LS image format
jmg,Bitmap image
jmh,JPEG File Interchange Format bitmap file
jng,JPEG Network Graphic file
jp2,JPEG 2000 (ISO 15444-1) picture
jpc,JPEG2000 code stream image format
jpd,Joint PhotoDefiner image file
jpe,JPEG bitmap image format file
jpeg,JPEG bitmap image format file
jpeg_128x96,Android picture file
jpeg_160x120,160 x 120 pixels JPEG image
jpeg_170x220,170 x 220 pixels JPEG image
jpf,JPEG 2000 extended image format (ISO 15444-2)
jpg,CompactDRAW e-JPG graphic file
jpg,JPEG bitmap image format
jpg_108x192,Android picture file
jpg_120_178,Android picture file
jpg_128x128,Android picture file
jpg_128x160,Android picture file
jpg_128x96,Android picture
jpg_160x120,Android picture
jpg_160x128,Android picture
jpg_170x128,Android picture
jpg_170x220,Android resized picture
jpg_220x176,Android picture file
jpg_240x320,Android picture image
jpg_320x240,Android picture file
jpg_320x320,Android picture
jpg_480x320,Android picture file
jpg_512x512,Android picture file
jpg_56x42,Android picture image
jpg_t,JPEG image file
jpg_thumb,JPG thumbnail image
jpg-large,Twitter JPEG picture file
jpg-original,JPEG picture image
jpg2,JPEG 2000 image format (ISO 15444-1) file
jpge,Mistyped JPEG bitmap image
jpig,JPiG picture image format
jpm,JPEG 2000 multi-layer image format (ISO 15444-6) file
jpx,JPEG 2000 extended image format (ISO 15444-2) file
jsl,Corel PaintShop Photo Pro shapes file
jtf,JPEG Tagged Interchange Format image
jtif,JPEG Tagged Interchange file
jxr,JPEG XR image
k25,Kodak DC25 digital camera file
kdi,KD Player skin image file
kdk,Kodak proprietary decimated TIFF file
kfx,Kofax Group 4 bitmap graphics
kic,Kodak compressed image file
koa,Koala paint C64 file format
kodak,Kodak Photo CD file
kpr,Kompresor do Animatora picture image
kps,IBM KIPS bitmap image graphics
kro,Kolor RAW format
landsat,EOSAT's Landsat Thematic Mapper data file
lansat,EOSAT's Landsat Thematic Mapper data file
lbm,Interleaved bitmap image
lce,ZX Spectrum 128 laced screen
lcf,LICEcap screen capture format
ldf,LuraDocument Format image format file
ldm,Ludek Maker picture image
lei,Leica SP1 image session file
leo,Larka Edytor Obiektów picture image
lff,LucasFilm Format image format
lfs,Samsung test picture image file
lgo,Microsoft Windows 3.x logo driver file
ljp,Lossless JPEG bitmap image file
ljpg,Lossless JPEG image
lm8,Graphics image file
lp3,Logo Painter 3/3+ picture image
lrg,Macromedia XRes multi-resolution bitmap file
lsm,Ziess LSM microscope image
lum,Technicolor Dream picture image
lw,Line Work TIFF bitmap file
mac,MacPaint bitmap image
macp,Apple Macintosh MacPaint bitmap image
mag,Magichan graphics image format
map,Envision picture image
mask,Cygwin bitmap file
mat,Vue material file
max,XL-Paint MAX picture image
mbfavs,Stardent AVS X bitmap image file
mbfs,Stardent AVS X bitmap image file
mbfx,AVS X image file
mbg,Mad Designer picture image
mbm,EPOC multi-bitmap file
mch,Graph2Font picture image
mcp,McPainter picture image
mcpp,ATARI Paradox picture image
mcs,MathCAD raster picture
mcs,Atari picture image
