###,DoubleSpace compressed volume file
$ll,Steinberg Cubase compressed file
dwz,file icondwz	Compressed AutoCAD drawing
dxtheme,file icondxtheme	DesktopX Windows desktop theme
dz,Dzip compressed archive
dz,LG firmware archive
e01,ARJ auto-extractable archive
e4a,Encrypt4all archive file
eappx,Microsoft Windows encrypted app archive
ear,file iconear	Java Enterprise application packaging unit
ecs,Sony Ericsson Phone backup file
edz,ProductView compressed package
efw,CA Security Centre compressed data
egg,ALZip EGG compressed archive
emk,EMK Compress archive
en2,Articulate Engage compressed data
enc4,Samsung Galaxy encrypted firmware update
enfpack,Enfocus pack
enlx,EndNote archived library
enpack,EnCase package
ep2,EclipsePackager package
er_,Microsoft Windows WinHelp compressed data
evz,EVO compressed record file
ex_,file iconex_	Compressed EXE file
exe,file iconexe	Self-extracting compressed file archive
f,Freeze compressed file archive
fb,Slim! compressed archive
fbz,Shadowgrounds game archive
fcarch,Apple Final Cut Pro archive
fcx,Vax VMS compressed data
fcxe,FileCapsule Deluxe encoded archive
ff,Freedom Force game file
ffl,Aliens vs Predator game file
ffr,FFR compressed archive
fgz,Formula Graphics standalone presentation archive
flmod,Freelancer game archive
fmu,Functional Mock-up Unit data
fpk,Civilization IV game archive
fpk,JetForm form package
fpkg,file iconfpkg	Apple Mac OS X Installer package file
framework,file iconframework	Apple macOS (OS X) application framework data
frp,FaxRush package file
fuzz,Fuzzac Packer module file
fwp,Frontpage web packages
fxf,IBM BigFix action data
fzf,file iconfzf	FontZip font packer data
gb7,MASGAU archive
gbm,Genie Backup Manager archive
gbx,Game data package
gca,GCA compressed archive
gcf,WinXComp grouped compressed data
gfar,Greenfoot JAVA archive
gip,Ghost Installer package
gnutar,TAR archive
gpk,HP OmniGo GEOS compressed file archive
gr_,Unknown file extension
gro,Serious Sam game data
gta,file icongta	Microsoft SharePoint Workspace Groove tool archive
gtar,GNU tar compressed archive
gxx,GeneXpert archive
gz,file icongz	GZIP compressed archive
gza,file icongza	bzip2 compressed file archive
gzi,file icongzi	GZip compressed archive
gzip,GNU ZIP gzip compressed archive
gzp,Giants Citizen Kabuto game file
h_,Microsoft WinHelp compressed data
ha,HA compressed archive
haf,HEAT archive
hal,Mortyr game archive file
hap,HAP compressed file archive
hbc,HyperBac compressed archive
hbc2,HyperBac compressed archive
hbx,BinHex encoded file
he2,Humungous Entertainment archive
hha,HyperHub archive file
hki,WinHKI compressed archive
hl$,file iconhl$	MS-DOS compressed help document
hlz,MultiEdit packed help
hog,Descent game data
hpa,Hyper Patch archive
hpi,Total Annihilation game archive
hpz,Helpinator project file
hqx,file iconhqx	Macintosh BinHex archive
hstx,Altair HyperStudy package file
htmlz,Zipped HTML document or e-book
ice,ICEOWS compressed data
icf,RapidForm INUS compression format file
igz,Gzipped image file
iha,GE Historian archive
img,Grand Theft Auto game archive file
imoviemobile,iMovie project package
inp,Self-Extracting Archive Utility project
inv,file iconinv	Microsoft Windows Update data
io,CPIO compressed file archive
ipa,file iconipa	Apple iOS application
ipk,WebGine Internet package
ipk,ipkg Itsy compressed archive file
isz,file iconisz	UltraISO compressed disk image
itmsp,Apple iTunes Store package file
iwa,Apple iWork document archive
iwd,Call of Duty game archive
ize,IZArc encrypted archive
ja,Mozilla archive file
jar,file iconjar	Compressed archive file package for Java classes and data
jar.pack,file iconjar.pack	Oracle Pack200 packed JAR archive
jgz,Gzipped JavaScript script
jic,Java icon file
jpq,JPQ (Jared Package) Library archive
jrc,JRchive file
jso,Compressed ISO image
kar,Keep-It archive
ken,Player CDcheck compressed data
kep,Turbo Pascal DOS Tp19 compressed Kepler data
key,OS/2 archive key
kgb,KGB Archiver compressed archive
kge,KGB Archiver encrypted compressed archive
kva,KVIrc compressed archive
kz,KuiaiZip archive
l01,ISOBuster Expert Witness Compression Format file
lg,Arhangel compressed archive
lha,file iconlha	LH ARC compressed archive
lhw,LHWarp Compressed Amiga archive
lhz,file iconlhz	LHA Compressed file archive
lim,Limit compressed data
lime,Lattice QCD Interchange Message Encapsulation format
liz,Compressed list data
lrz,lrzip compressed archive
ls5,HTML Compress compressed data
lz,LZIP compressed archive
lz4,LZ4 compressed data
lzh,file iconlzh	LH ARC compressed archive
lzm,Slax module file
lzma,file iconlzma	7-Zip compressed data
lzo,lzop archive
lzop,LZOP compressed data
lzp,Law and Order 3: Justice is Served game file
lzr,Crunched LBR archive
lzs,LARC compressed file archive
lzw,LZW compressed archive
lzx,Amiga LZX archive file
m3k,file iconm3k	Interactive Digital Content File
m99,M99 compressed data
macbin,file iconmacbin	MacBinary archive
maff,Mozilla archive format
mar,file iconmar	Mozilla archive file
mcp,MSN Content Plus installer file archive
md,MDCD compressed file archive
md5,Samsung Galaxy firmware archive
mdzip,MagicDraw compressed project
mgz,Metal Gear Solid game archive
mmip,MediaMonkey installation file
mn3,Descent 3 mission file
mo?,Standard mail archive file
mob,Master of Orion 3 game data
mos,MACAOS compressed transmission data
mou,MOU compressed format
mpkg,Meta package
mpq,file iconmpq	Blizzard Entertainment game archive
mrt,file iconmrt	Microsoft Visio 2010 installation archive
ms_,file iconms_	Microsoft Windows WinHelp compressed data
msa,Magic Shadow Archiver Atari disk image
mshc,Microsoft Help container
msu,file iconmsu	Microsoft Update Standalone Package
mtf,Darkstone game archive
mtz,Compressed MetaStream scene file
mu_,7-Zip 7z compressed archive
mva,Microsoft setup archive
mvdx,MindView mindmap archive
myo,MYOB data
mzf,MediaZip archive
mzip,Cisco IOS MZIP compressed image
mzz,Microsoft .NET Framework installation package
nbh,file iconnbh	HTC ROM update utility ROM image
nbm,Guy's Power Albums archive
nfp,Data archive
nks,Native Instruments archive file
nkx,Native Instruments Monolith data
nmd,file iconnmd	Nero miniDVD compilation data
nmt,Popcorn Hour A-300 NMT package
npk,MikroTik RouterOS upgrade package
npk,NPK archive
npr,Nuendo file
nsarc,Neurosoft archive
ntfs,7-zip NTFS archive
nuget,NuGet package file
nupkg,NuGet source code package
nw_,Noteworthy Composer compressed data
nwcab,Neat Software cabinet
nxm,Nexus Mod Manager archive
nz,NanoZip compressed archive
oap,file iconoap	Samsung bada signed installation package
oar,OpenSimulator archive
obpack,file iconobpack	ObjectBar theme pack
obr,OSGi Bundle Repository data
oc_,Compressed ActiveX control data
od_,Oracle compressed driver
oop,OOP Packer archive
opg,Offline Plan Generation package
owr,PeopleSoft results archive
oz,Opera Job Management compressed data
p17,PAR recovery volume
p22,PAR recovery volume
p23,PAR recovery volume
p28,PAR recovery volume
pac,CrossePAC archive file
pac,Desperados game archive
pack,GLSL pack
pack.gz,Pack200 compressed archive file
package,Linux Autopackage file
pact,Compact Pro (Compactor) archive
pae,PowerArchiver encrypted archive
pak,CrazyTalk SFX file
pak,Game resource package
pak,ZLIB PAK archive
paq,Hewlett-Packard system backup ZIP data
paq6,PAQ6 data archive
paq8o,PAQ data archive
par2,PAR2 recovery volume
part00000,Ashampoo WinOptimizer split archive (part 1)
part1.exe,file iconpart1.exe	Split Multi-volume RAR compressed self-extracting file archive (part 1)
part1.rar,file iconpart1.rar	Split Multi-volume RAR compressed file archive (part 1)
part10.rar,file iconpart10.rar	Split Multi-volume RAR compressed file archive (part 10)
part11.rar,file iconpart11.rar	Split Multi-volume RAR compressed file archive (part 11)
part2.rar,file iconpart2.rar	Split Multi-volume RAR compressed file archive (part 2)
part3.rar,file iconpart3.rar	Split Multi-volume RAR compressed file archive (part 3)
part4.rar,file iconpart4.rar	Split Multi-volume RAR compressed file archive (part 4)
part5.rar,file iconpart5.rar	Split Multi-volume RAR compressed file archive (part 5)
part6.rar,file iconpart6.rar	Split Multi-volume RAR compressed file archive (part 6)
part7.rar,file iconpart7.rar	Split Multi-volume RAR compressed file archive (part 7)
part8.rar,file iconpart8.rar	Split Multi-volume RAR compressed file archive (part 8)
part9.rar,file iconpart9.rar	Split Multi-volume RAR compressed file archive (part 9)
pax,PAX archive
pck,Program package
pe3,Ulead PhotoImpact image archive
pe4,file iconpe4	Ulead image archive
pea,PeaZip pack encrypt authenticate file
pet,Puppy Linux install package file
pf_,Encore compressed data
pgz,StreamLync download archives
phar,PHP Extension and Application Repository archive
pi$,Microsoft compressed PIF program information
pit,PackIt for Mac compressed archive file
piz,Renamed zip archive
pk1,XS game data
pk2,XS game file
pk7,Casio electronic keyboard data package
pka,PKArc compressed file archive
pkd,Turbo Pascal for DOS compressed batch data
pkg,Archive or installation package
pkg,InstallShield compiled setup package
pkg,file iconpkg	Apple macOS (OS X) installer package
pkg,file iconpkg	Sony PlayStation 3 installation package
pkg_,file iconpkg_	Apple Newton package
plf,PatchLink Patch Developers Kit exported patch archive file
pma,MSX archive format
pn_,CAB archive
pod,Holy Games 2005 game archive
pod,Nocturne game archive
pod,Terminal Velocity archive
ppk,PPK archive
ppz,file iconppz	Microsoft PowerPoint 97/2002 packaged presentation
propdesc,file iconpropdesc	Microsoft property description data
psa,Pretty Simple Archive archive
pug,Prepare Ur Gui archive
pup,Puppy Linux DotPup installer package
pup,file iconpup	Sony PlayStation update
put,PUT compressed data
puz,file iconpuz	Microsoft Publisher packed document
pwzip,Polyworks compressed archive
pz,Compressed PNG image
pz,Panda3D Pzip compressed data
pzip,Zip compressed archive
qar,Quartus II project archive
qcf,QuikCAT compressed data
qch,Qt help compressed help
qda,Quadruple D archive
qif,DESQview compressed font archive
ql$,Microsoft compressed QLB data
qm3,Articulate Quizmaker compressed file
qta,qtar archive
quad,QUAD compressed archive
qze,file iconqze	QZip encrypted data
r00,file iconr00	Split Multi-volume RAR compressed file archive (part 2)
r01,file iconr01	Split Multi-volume RAR compressed file archive (part 3)
r02,file iconr02	Split Multi-volume RAR compressed file archive (part 4)
r03,file iconr03	Split Multi-volume RAR compressed file archive (part 5)
r04,file iconr04	Split Multi-volume RAR compressed file archive (part 6)
r05,file iconr05	Split Multi-volume RAR compressed file archive (part 7)
r06,file iconr06	Split Multi-volume RAR compressed file archive (part 8)
r07,file iconr07	Split Multi-volume RAR compressed file archive (part 9)
r08,file iconr08	Split Multi-volume RAR compressed file archive (part 10)
r09,file iconr09	Split Multi-volume RAR compressed file archive (part 11)
r10,file iconr10	Split Multi-volume RAR compressed file archive (part 12)
r11,file iconr11	Split Multi-volume RAR compressed file archive (part 13)
r12,file iconr12	Split Multi-volume RAR compressed file archive (part 14)
r13,file iconr13	Split Multi-volume RAR compressed file archive (part 15)
r14,file iconr14	Split Multi-volume RAR compressed file archive (part 16)
r15,file iconr15	Split Multi-volume RAR compressed file archive (part 17)
r16,file iconr16	Split Multi-volume RAR compressed file archive (part 18)
r17,file iconr17	Split Multi-volume RAR compressed file archive (part 19)
r18,file iconr18	Split Multi-volume RAR compressed file archive (part 20)
r19,file iconr19	Split Multi-volume RAR compressed file archive (part 21)
r20,file iconr20	Split Multi-volume RAR compressed file archive (part 22)
r21,file iconr21	Split Multi-volume RAR compressed file archive (part 23)
r22,file iconr22	Split Multi-volume RAR compressed file archive (part 24)
r23,file iconr23	Split Multi-volume RAR compressed file archive (part 25)
r24,file iconr24	Split Multi-volume RAR compressed file archive (part 26)
r25,file iconr25	Split Multi-volume RAR compressed file archive (part 27)
r26,file iconr26	Split Multi-volume RAR compressed file archive (part 28)
r27,file iconr27	Split Multi-volume RAR compressed file archive (part 29)
r28,file iconr28	Split Multi-volume RAR compressed file archive (part 30)
r29,file iconr29	Split Multi-volume RAR compressed file archive (part 31)
r30,Split Multi-volume RAR compressed file archive (part 32)
r31,file iconr31	Split Multi-volume RAR compressed file archive (part 33)
r32,file iconr32	Split Multi-volume RAR compressed file archive (part 34)
r33,file iconr33	Split Multi-volume RAR compressed file archive (part 35)
r34,file iconr34	Split Multi-volume RAR compressed file archive (part 36)
